Xã,Tên ĐGD,So_thon_co_ten,So_dong_thieu_thon,So_KH,So_mon,Du_no,Du_no_QH,So_dong,Du_no_ty,Du_no_QH_ty
Biên Hòa,Biên Hòa,1,139,248,284,17403863000,0,294,17.404,0.0
Biên Hòa,Bửu Hòa,3,163,365,430,19436036640,20650000,452,19.436,0.021
Biên Hòa,Tân Hạnh,1,286,400,450,17947139489,27442038,465,17.947,0.027
Biên Hòa,Tân Vạn,1,170,203,239,9307350000,10000000,242,9.307,0.01
Hố Nai,Hố Nai,4,52,427,478,23299182897,58000000,546,23.299,0.058
Hố Nai,Hố Nai 3,5,0,747,856,29437887323,54548691,980,29.438,0.055
Long Bình,Hố Nai 2,3,355,541,570,32491209067,0,599,32.491,0.0
Long Bình,Long Bình,7,176,756,744,48519635003,50900000,829,48.52,0.051
Long Bình,Tân Biên,2,528,598,651,35090820000,70100000,671,35.091,0.07
Long Hưng,Long Bình Tân,2,198,365,383,28719285457,12586000,400,28.719,0.013
Phước Tân,Phước Tân,5,431,1275,1349,72305655620,478421302,1449,72.306,0.478
Tam Hiệp,Tân Hiệp 3,3,214,454,488,34734006332,26900000,513,34.734,0.027
Tam Hiệp,Tân Mai,4,253,458,529,38332133970,57620165,544,38.332,0.058
Tam Phước,Tam Phước,4,316,890,921,46858344425,66300000,1024,46.858,0.066
Trảng Dài,Thiện Tân,1,417,435,666,23010355698,0,686,23.01,0.0
Trảng Dài,Trảng Dài,3,305,498,581,46380205225,52500000,607,46.38,0.052
Trấn Biên,An Bình,2,103,219,243,19054991014,0,256,19.055,0.0
Trấn Biên,Bửu Long,3,110,433,451,23341271302,0,488,23.341,0.0
Trấn Biên,Hiệp Hòa,1,222,242,264,9549872600,9299910,270,9.55,0.009
Trấn Biên,Thống Nhất 2,3,56,189,196,13079782869,94000000,217,13.08,0.094
Trấn Biên,Trung Dũng,2,674,663,858,49515818399,126950000,869,49.516,0.127
Trấn Biên,Trấn Biên,3,321,456,546,41608728336,124812515,579,41.609,0.125
