xa,ma_thon,ngay,so_to,so_kh,du_no,so_dong,ten_thon
Biên Hòa,46000401,17.0,1,50,3721.24,69,Khu phố Bửu Hòa 1
Biên Hòa,46000401,,1,0,0.0,8,Khu phố Bửu Hòa 1
Biên Hòa,46000402,17.0,2,75,4584.72,107,
Biên Hòa,46000402,,2,0,0.0,12,
Biên Hòa,46000403,17.0,2,95,4783.85,121,Khu Phố Bửu Hòa 3
Biên Hòa,46000403,,3,0,0.0,13,Khu Phố Bửu Hòa 3
Biên Hòa,46000404,17.0,1,55,2047.23,73,Khu Phố Bửu Hòa 2
Biên Hòa,46000404,,1,0,0.0,2,Khu Phố Bửu Hòa 2
Biên Hòa,46000405,17.0,1,44,2498.0,56,
Biên Hòa,46000405,,0,0,0.0,2,
Biên Hòa,46000406,12.0,2,113,7474.86,144,Khu phố Hóa An
Biên Hòa,46000406,,2,0,0.0,11,Khu phố Hóa An
Biên Hòa,46000407,12.0,2,56,4223.2,69,
Biên Hòa,46000407,,2,0,0.0,5,
Biên Hòa,46000408,,0,0,0.0,1,
Biên Hòa,46000409,12.0,1,59,5705.8,70,
Biên Hòa,46000409,,1,0,0.0,4,
Biên Hòa,46000410,6.0,3,131,6483.9,161,Khu phố  Tân Hạnh 1
Biên Hòa,46000410,,2,0,0.0,16,Khu phố  Tân Hạnh 1
Biên Hòa,46000411,,0,0,0.0,1,Khu phố  Tân Hạnh 2
Biên Hòa,46000412,6.0,3,118,5687.44,163,
Biên Hòa,46000412,,3,0,0.0,21,
Biên Hòa,46000413,6.0,2,94,5146.0,123,
Biên Hòa,46000413,,1,0,0.0,23,
Biên Hòa,46000414,9.0,1,38,1951.5,47,
Biên Hòa,46000414,,1,0,0.0,7,
Biên Hòa,46000415,9.0,1,49,2478.3,67,Khu phố Tân Vạn
Biên Hòa,46000415,,1,0,0.0,4,Khu phố Tân Vạn
Biên Hòa,46000416,9.0,1,48,2501.0,60,
Biên Hòa,46000416,,1,0,0.0,1,
Biên Hòa,46000417,9.0,1,49,2326.55,63,
Biên Hòa,46000417,,1,0,0.0,6,
Hố Nai,46002401,21.0,1,17,1406.0,30,Khu phố 1
Hố Nai,46002401,,1,0,0.0,10,Khu phố 1
Hố Nai,46002403,,0,0,0.0,2,
Hố Nai,46002404,21.0,1,17,1055.0,25,Khu phố 4
Hố Nai,46002404,,1,0,0.0,6,Khu phố 4
Hố Nai,46002407,,0,0,0.0,1,
Hố Nai,46002408,,0,0,0.0,1,
Hố Nai,46002409,21.0,1,54,3516.0,83,Khu phố 9
Hố Nai,46002409,,1,0,0.0,10,Khu phố 9
Hố Nai,46002410,21.0,2,69,5526.5,91,Khu phố 4
Hố Nai,46002410,,1,0,0.0,4,Khu phố 4
Hố Nai,46002411,21.0,1,42,2167.0,52,
Hố Nai,46002411,,1,0,0.0,4,
Hố Nai,46002412,21.0,3,148,9628.68,195,Khu phố 3
Hố Nai,46002412,,1,0,0.0,39,Khu phố 3
Hố Nai,46002413,15.0,4,142,6577.46,215,khu phố Ngũ Phúc
Hố Nai,46002413,,5,0,0.0,50,khu phố Ngũ Phúc
Hố Nai,46002414,15.0,3,113,5456.6,167,Khu phố 5
Hố Nai,46002414,,2,0,0.0,23,Khu phố 5
Hố Nai,46002415,15.0,2,73,5029.4,103,Khu phố 6
Hố Nai,46002415,,2,0,0.0,5,Khu phố 6
Hố Nai,46002416,15.0,3,150,6424.4,198,khu phố Đông Hải
Hố Nai,46002416,,2,0,0.0,30,khu phố Đông Hải
Hố Nai,46002417,15.0,2,107,5935.7,171,khu phố Lộ Đức
Hố Nai,46002417,,1,0,0.0,17,khu phố Lộ Đức
Long Bình,46002601,19.0,1,56,3214.6,68,Khu phố 1
Long Bình,46002601,,1,0,0.0,8,Khu phố 1
Long Bình,46002603,19.0,1,53,3077.8,71,Khu phố 3
Long Bình,46002603,,1,0,0.0,9,Khu phố 3
Long Bình,46002605,19.0,1,49,3728.5,61,
Long Bình,46002605,,1,0,0.0,7,
Long Bình,46002606,19.0,1,35,1994.6,48,
Long Bình,46002606,,1,0,0.0,3,
Long Bình,46002607,19.0,1,47,3840.37,62,
Long Bình,46002607,,1,0,0.0,16,
Long Bình,46002608,19.0,1,53,3103.5,65,
Long Bình,46002608,,1,0,0.0,2,
Long Bình,46002609,,0,0,0.0,1,Khu phố 4
Long Bình,46002610,19.0,1,59,4202.3,66,
Long Bình,46002610,,1,0,0.0,5,
Long Bình,46002612,19.0,1,59,3703.0,70,Khu phố 2
Long Bình,46002612,,1,0,0.0,13,Khu phố 2
Long Bình,46002613,19.0,1,47,2707.7,53,
Long Bình,46002613,,1,0,0.0,3,
Long Bình,46002614,,0,0,0.0,1,
Long Bình,46002615,21.0,2,82,6584.8,89,
Long Bình,46002615,,1,0,0.0,10,
Long Bình,46002616,,0,0,0.0,2,
Long Bình,46002617,21.0,1,59,4173.63,66,
Long Bình,46002617,,1,0,0.0,5,
Long Bình,46002619,21.0,1,58,2774.75,74,
Long Bình,46002619,,1,0,0.0,5,
Long Bình,46002620,21.0,1,39,2158.5,42,
Long Bình,46002620,,2,0,0.0,18,
Long Bình,46002621,,0,0,0.0,1,Khu phố 8
Long Bình,46002622,21.0,1,54,3903.9,63,
Long Bình,46002622,,1,0,0.0,9,
