xa,ma_thon,ten_thon,ngay,ly_do,so_dong,du_no_trieu
Tam Hiệp,46005816,Khu phố 12,22,"dư nợ 0, ngày GDXA trùng nhiều Điểm GD — cần xác nhận thủ công",2,0.0
Biên Hòa,46000408,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Biên Hòa,46000411,Khu phố  Tân Hạnh 2,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Hố Nai,46002403,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Hố Nai,46002407,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Hố Nai,46002408,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Long Bình,46002609,Khu phố 4,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Long Bình,46002614,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Long Bình,46002616,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Long Bình,46002621,Khu phố 8,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Long Bình,46002625,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,3,0.0
Long Bình,46002630,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Long Hưng,46002803,Khu phố 4,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,8,0.0
Tam Hiệp,46005803,Khu phố 2,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Tam Hiệp,46005808,khu phố 1,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Tam Hiệp,46005814,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Tam Hiệp,46005821,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Tam Hiệp,46005822,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Tam Hiệp,46005835,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Trảng Dài,46006609,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Trảng Dài,46006611,khu phố 4A,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Trảng Dài,46006612,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,5,0.0
Trấn Biên,46006704,Khu phố Bình An,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Trấn Biên,46006705,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,3,0.0
Trấn Biên,46006711,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Trấn Biên,46006721,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Trấn Biên,46006731,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
Trấn Biên,46006733,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,4,0.0
Trấn Biên,46006735,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,2,0.0
Trấn Biên,46006738,,,chỉ có dòng dư nợ 0 / thiếu ngày GDXA,1,0.0
